restaurant,user,split,time
Ferry-Gleason,Hatti Westnage,false,3/5/2022
Klocko LLC,Lexie Fley,false,4/2/2022
Braun Group,Jermaine Burgwin,true,3/22/2022
Schaden-Borer,Aggi Creasy,false,7/25/2021
Haag-Schowalter,Reilly Pearlman,false,1/31/2022
"Murphy, Simonis and Greenholt",Cordelia Corbould,false,8/24/2021
Langosh LLC,Lauri Weiser,true,8/18/2021
Jenkins-Kozey,Denna Aitcheson,false,10/19/2021
Dach-Berge,Jemimah Sember,false,4/15/2021
"Waelchi, Hills and Sipes",Dorette Rickford,false,4/2/2022
Brakus-Muller,Barb Micheu,false,10/2/2021
Heidenreich-Sauer,Nat Badby,false,8/12/2021
Heathcote and Sons,Orlan Delmonti,false,2/2/2022
"Jacobs, Abernathy and Wehner",Louisa Dederick,false,11/12/2021
"O'Conner, Waters and Franecki",Stafford Vinden,false,9/23/2021
Wilderman LLC,Schuyler Santen,false,5/19/2021
"Hartmann, Hyatt and Wyman",Harrison Dyter,true,7/31/2021
"Nader, Kunde and Abbott",Ivory Rome,true,7/8/2021
Pfannerstill-Langosh,Dill Cubberley,false,7/25/2021
Balistreri-Roob,Rad Teanby,true,12/17/2021
"Klocko, Crist and Murray",Etan Wehden,false,8/21/2021
Haley-Kub,Sigfrid Giannasi,true,5/28/2021
King-Mosciski,Portie Kilfeather,false,9/28/2021
"Feeney, Johnson and Swift",Ginny Waud,true,2/21/2022
Erdman-Bashirian,Olag Swayland,true,2/14/2022
Lang Inc,Keslie Wrigley,false,12/7/2021
"Johnston, Mitchell and Emard",Kip Shrawley,true,8/27/2021
Dickinson LLC,Hagan Hacun,false,6/2/2021
Zieme-Roob,Marchelle Boote,true,7/24/2021
"Swaniawski, Vandervort and Lesch",Kimberli Le Breton De La Vieuville,false,4/2/2022
Bartell-Ernser,Blakeley Durbin,true,5/10/2021
Johnson Inc,Martha Eatherton,false,10/31/2021
"Connelly, Bechtelar and Schmitt",Nil Honnan,true,5/7/2021
Schinner Group,Mikael Thornbarrow,true,6/3/2021
Walter and Sons,Trip Van T'Hoog,false,11/20/2021
"Murazik, Volkman and Keebler",Sunshine Baigrie,true,6/4/2021
Corkery-Hilll,Den Capper,true,11/25/2021
Schamberger-Zboncak,Jannelle Springate,false,3/8/2022
"Batz, Rodriguez and Marquardt",Charmian Piele,true,5/24/2021
Keeling Group,Jaynell Elner,true,6/15/2021
"Armstrong, Turner and Williamson",Lorrin Stellin,true,2/3/2022
Bode LLC,Elvis Mallabon,false,3/30/2022
"Hegmann, Christiansen and Collier",Garvin Worsom,true,5/12/2021
"Hegmann, Smitham and Roberts",Michale Spencley,true,10/29/2021
Greenfelder and Sons,Katya Dilon,false,3/19/2022
Bosco Group,Georgeta Scaice,false,10/10/2021
Thompson and Sons,Anallese Khoter,true,8/28/2021
Ritchie-Kunze,My Spackman,false,7/25/2021
"Lowe, Zemlak and Konopelski",Hamel Brewitt,true,1/2/2022
Feil Inc,Byron Behagg,true,8/9/2021
Koss Group,Alli Schutter,false,12/5/2021
Buckridge and Sons,Fan Lilian,false,1/25/2022
Moen-Block,Desirae McCormick,true,6/11/2021
"Cummings, Lueilwitz and Walsh",Keely Chatin,false,5/20/2021
"Lueilwitz, Schuppe and Tillman",Celisse Evenden,false,9/11/2021
Bartoletti and Sons,Nathanael Barnish,false,12/12/2021
Kirlin-Reinger,Gran Vlasyev,false,2/13/2022
Larson-Cassin,Myrle Bachelar,true,6/11/2021
"Wolff, Denesik and Glover",Ivor Pate,true,3/20/2022
Kulas-Wolff,Auberta Sherston,true,7/12/2021
"Bernhard, Gutmann and Grant",Andree Will,false,7/15/2021
McLaughlin-Kutch,Lyman Placido,false,3/24/2022
"Wilkinson, Haley and Morar",Ira Ceaser,true,8/27/2021
Lemke-Watsica,Barbara-anne Ellins,false,1/28/2022
Mills Group,Daffy Foyston,false,6/29/2021
Hirthe-Pouros,Natividad Barnicott,false,1/30/2022
Rippin-Prohaska,Cazzie Bowmer,true,9/7/2021
"Kreiger, Terry and Bailey",Kevyn Speak,false,3/27/2022
Koelpin and Sons,Ambros Sharrock,true,10/2/2021
"Kuhn, Halvorson and Krajcik",Malynda Havercroft,false,5/17/2021
"Gleason, Casper and Bernier",Sigismond Deverose,true,7/7/2021
"Jenkins, Toy and Hane",Berke O'Finan,true,9/3/2021
"Wisozk, Gleichner and Heller",Will O'Heffernan,false,3/8/2022
Huels LLC,Merrel Cray,false,10/4/2021
Hayes-Huel,Fionna Gillmore,false,2/16/2022
Kris-Brakus,Farlee Spaughton,false,8/18/2021
"Bradtke, Glover and Schmitt",Helsa Bolsteridge,false,11/23/2021
Morissette Group,Vladamir Rushbrook,true,10/31/2021
Nikolaus-Gusikowski,Pansy Rowlstone,false,3/4/2022
Wisozk-Reinger,Lucita Beiderbecke,false,5/18/2021
Hammes and Sons,Cordy Minghella,true,12/20/2021
Wisozk-Turner,Carolee Ifill,true,1/30/2022
Mueller-Jerde,Leonore Arundel,false,3/5/2022
Nitzsche Group,Meier Glaisner,false,12/15/2021
Monahan LLC,Lynnea Hindmore,true,7/22/2021
"Murazik, Nader and Torp",Wildon Laise,false,2/21/2022
"Satterfield, Gislason and Roberts",Courtnay Bellefonte,true,10/18/2021
Corwin Inc,Ailbert McArte,true,6/4/2021
Davis-Tromp,Danella Sherman,true,12/20/2021
Friesen-Kuhic,Palm Jennins,true,6/11/2021
"Schmitt, O'Conner and Ondricka",Shelagh Orpin,false,4/4/2022
Kohler Inc,Kelsi Laverenz,true,3/14/2022
Stracke LLC,Hilliard Casbolt,false,11/8/2021
"Lubowitz, O'Reilly and Botsford",Lena MacNeely,true,6/10/2021
"Rohan, Leannon and Bradtke",Faulkner Aldis,false,12/24/2021
Howell-Stroman,Arvie MacGinley,false,5/15/2021
Koss Group,Dinah Fontelles,true,7/11/2021
"Hilpert, Carroll and Green",Caresa Di Franceshci,false,12/7/2021
Walker LLC,Helenelizabeth Rassmann,true,11/28/2021
"Sporer, Mann and Wintheiser",Hildy Mulgrew,true,3/28/2022
Trantow LLC,Beale Coils,true,3/17/2022
"Douglas, Cummerata and Gutkowski",Vidovik Repper,true,9/7/2021
Nikolaus-Walker,Erwin Lindsley,true,4/1/2022
"Buckridge, Medhurst and Bruen",Lidia Szymanski,false,11/22/2021
"Bashirian, Nicolas and Schamberger",Philipa Boddie,true,2/16/2022
"Hamill, Haag and Treutel",Gordon Eliesco,true,3/29/2022
"Bode, Conn and Corwin",Jessee Upchurch,true,6/29/2021
VonRueden-Daniel,Herbie Schohier,true,7/19/2021
"Jaskolski, Yost and Braun",Kinsley Cornock,false,6/10/2021
Lueilwitz LLC,Gaven Kleynen,true,8/9/2021
"Pfannerstill, Grimes and Brekke",Eldin Drabble,false,12/9/2021
Conroy Group,Madonna Shepperd,false,10/31/2021
Larkin-Johns,Melantha Mapletoft,true,2/1/2022
Gorczany-McClure,Erny Chitter,false,7/9/2021
Crist-Christiansen,Clara Silveston,true,1/3/2022
Haag-Kuphal,Stephi Canham,true,1/22/2022
"Stiedemann, Lakin and Armstrong",Karmen Mangenet,false,10/14/2021
Klocko-Rutherford,Tobit Keppy,true,10/4/2021
Doyle-VonRueden,Hi Ruoss,false,6/27/2021
Dickinson-Nicolas,Paula Glencrosche,true,1/13/2022
